Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
advantage_clip,0.9,0.95,0.25,0.15
bc_wins,0.9,0.7,0.4,0.1
gradient_surgery,1.0,0.9,0.45,0.25
normalized_adv,0.1,0.0,0.1,0.1
