Method,Group,Score,Delta_Baseline,Verdict,Hypothesis
attention_only,C,0.625,0.0875,IMPROVEMENT,"If attention-only works: model needs routing updates, not feature updates"
frozen_backbone,C,0.5625,0.025,NEUTRAL,If frozen backbone helps: deep gradient flow into backbone causes collapse
head_only,C,0.5875,0.05,IMPROVEMENT,If head-only works: backbone representations are fine; only decision boundary needs updating
low_t,B,0.5375,0.0,NEUTRAL,If low-t helps: high-t (coarse-structure) gradients are biased
