Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
attention_only,1.0,0.9,0.5,0.35
frozen_backbone,0.95,0.9,0.5,0.4
head_only,1.0,0.8,0.3,0.3
low_t,1.0,0.6,0.45,0.15
