Method,Group,Score,Delta_Baseline,Verdict,Hypothesis
entropy_bonus,B,0.5875,0.0375,NEUTRAL,If entropy bonus helps: collapse is mode-collapse; not a gradient problem
t_curriculum,B,0.6438,0.0938,IMPROVEMENT,If curriculum helps: ordering of learning signals matters
