Method,Group,Score,Delta_Baseline,Verdict,Hypothesis
action_diversity,D,0.5938,-0.0562,NEUTRAL,If diversity filtering helps: degenerate plans corrupt training
reward_model,D,0.5625,-0.0875,NEUTRAL,If reward model helps: raw returns are too sparse; learned model smooths signal
running_stats,D,0.5875,-0.0625,NEUTRAL,If running stats help: batch normalisation is too noisy for small batches
