Group,N,Mean,Best,Worst,StdDev
Baseline,1,0.6,0.6,0.6,0.0
A,6,0.625,0.675,0.575,0.0323
B,6,0.4833,0.625,0.125,0.17
C,7,0.5607,0.65,0.425,0.0705
D,4,0.575,0.625,0.475,0.0586
