Method,First_Collapse,Min_Score,Min_Score_Iter,Final_Score,Recovered
action_diversity,25,0.55,25,0.6,true
reward_filtering,75,0.525,75,0.55,false
reward_model,25,0.5125,475,0.6125,true
running_stats,75,0.55,75,0.625,true
