Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
action_diversity,0.85,0.8,0.55,0.2
reward_filtering,0.85,0.8,0.4,0.15
reward_model,0.95,0.9,0.35,0.25
running_stats,0.95,1.0,0.35,0.2
