Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
ffn_only,1.0,1.0,0.35,0.3
layer_ablation_top1,0.9,0.75,0.2,0.2
layer_ablation_top2,0.95,0.9,0.35,0.25
layer_ablation_top3,0.95,0.75,0.4,0.45
