Method,Cos_Sim,RL_Norm,BC_Norm
layer_ablation_top1,0.4565,0.5832,0.3635
layer_ablation_top2,0.9152,0.6705,0.3544
layer_ablation_top3,0.1947,0.1274,0.3289
