Method,Group,Score,Delta_Baseline,Verdict,Hypothesis
layer_ablation_top1,C,0.6312,0.0312,NEUTRAL,Minimal unfrozen depth needed; collapse depth correlates with gradient flow depth
layer_ablation_top2,C,0.6375,0.0375,NEUTRAL,Minimal unfrozen depth needed; collapse depth correlates with gradient flow depth
layer_ablation_top3,C,0.6,0.0,NEUTRAL,Minimal unfrozen depth needed; collapse depth correlates with gradient flow depth
