Method,Group,Score,Delta_Pretrained,Delta_Baseline,Verdict
layer_ablation_top2,C,0.6375,0.0375,0.0375,NEUTRAL
layer_ablation_top1,C,0.6312,0.0312,0.0312,NEUTRAL
layer_ablation_top3,C,0.6,0.0,0.0,NEUTRAL
