Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
layer_ablation_top1,1.0,0.7,0.35,0.3
layer_ablation_top2,0.9,0.85,0.35,0.25
layer_ablation_top3,0.95,0.9,0.5,0.15
