Method,KL_mean,KL_low_t,KL_mid_t,KL_high_t
layer_ablation_top1,0.303,0.3202,0.3079,0.2666
layer_ablation_top2,0.2999,0.3501,0.3118,0.2274
layer_ablation_top3,0.4224,0.5204,0.4271,0.3135
