Group,N,Mean,Best,Worst,StdDev
Baseline,1,0.5625,0.5625,0.5625,0.0
A,6,0.6021,0.6667,0.5583,0.0358
B,7,0.4905,0.6542,0.0625,0.1812
C,7,0.6089,0.6458,0.55,0.0279
