Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
baseline_rl,1.0,1.0,0.5,0.3
ewc,1.0,1.0,0.2,0.2
llrd,0.9,0.9,0.7,0.4
lora,1.0,1.0,0.2,0.2
