Method,Cos_Sim,RL_Norm,BC_Norm
baseline_rl,0.468,0.4764,0.757
ewc,0.9205,1.116,1.2268
llrd,0.9285,0.7122,0.6664
lora,0.0721,0.2284,0.1892
