Method,KL_mean,KL_low_t,KL_mid_t,KL_high_t
baseline_rl,0.4973,0.6382,0.511,0.3503
ewc,0.2943,0.3971,0.2627,0.1927
llrd,0.2256,0.2876,0.2368,0.1775
lora,0.2015,0.203,0.1901,0.1966
