Method,Group,Score,Delta_Pretrained,Delta_Baseline,Verdict
bc_wins,B,0.6,-0.0125,-0.0125,NEUTRAL
advantage_clip,B,0.475,-0.1375,-0.1375,COLLAPSE
normalized_adv,B,0.0688,-0.5438,-0.5438,COLLAPSE
