Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
baseline_rl,1.0,0.7,0.3,0.1
ewc,1.0,0.85,0.6,0.3
kl_penalty,0.95,1.0,0.3,0.35
