Method,First_Collapse,Min_Score,Min_Score_Iter,Final_Score,Recovered
entropy_bonus,150,0.475,500,0.475,false
t_curriculum,275,0.5125,350,0.5625,true
trust_region_kl,150,0.525,150,0.6,true
