Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
entropy_bonus,0.9,0.4,0.45,0.15
t_curriculum,1.0,0.8,0.3,0.15
trust_region_kl,0.95,0.75,0.45,0.25
