Method,Group,Score,Delta_Baseline,Verdict,Hypothesis
lora,A,0.6063,0.0063,NEUTRAL,If LoRA works: too many unconstrained degrees of freedom cause collapse
mixed_replay,A,0.5562,-0.0438,NEUTRAL,If mixed replay helps: online data distribution alone is too corrupted
