Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
lora,1.0,0.9,0.4,0.25
mixed_replay,0.95,0.65,0.3,0.15
