Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
attention_only,1.0,0.95,0.3,0.2
frozen_backbone,1.0,0.85,0.35,0.2
head_only,0.95,0.8,0.35,0.4
