Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
llrd,0.8,0.9,0.4,0.25
lora,1.0,0.75,0.2,0.2
mixed_replay,0.95,0.75,0.45,0.2
