Group,N,Mean,Best,Worst,StdDev
Baseline,1,0.5375,0.5375,0.5375,0.0
A,6,0.6042,0.65,0.55,0.0412
B,7,0.4768,0.6875,0.05,0.1847
C,7,0.6036,0.6625,0.55,0.0376
D,4,0.6094,0.6375,0.6,0.0162
